"order" "rmse" "dist"
"1" 8 8.34385545714795 35.2670734163924
"2" 9 8.04148070999223 33.5526647602534
"3" 10 7.76602243553505 32.5138081314641
"4" 11 7.91241197552177 31.9667594331764
"5" 12 7.21763017431343 31.9764264506231
"6" 13 7.0929931621421 31.4409363399131
"7" 14 6.82040763704687 31.2083634651428
"8" 15 6.60280503136749 30.9226989843003
"9" 16 6.52825308338923 30.6921972717757
"10" 17 6.53221187712477 30.6631383534377
"11" 18 6.21743287184744 30.5195545387339
"12" 19 6.14052853192703 30.4474653186918
"13" 20 5.84492166834917 30.3488196571009
"14" 21 5.45205699696518 30.232584283938
"15" 22 5.03065960158002 30.1337431242812
"16" 23 4.70133485983326 30.0664681879111
"17" 24 4.35743919757627 30.0108523487489
"18" 25 4.67393122669084 29.9756783453857
"19" 26 6.85848150814439 29.9449844420705
"20" 27 13.2570163882173 29.8879278358286
"21" 28 18.5029308820779 29.861637643477
"22" 29 NA NA
"23" 30 NA NA
"24" 31 NA NA
"25" 32 NA NA
