"order" "rmse" "dist"
"1" 8 8.34385545714795 36.2703996432413
"2" 9 8.04148070999223 34.6016806459533
"3" 10 7.76602243553505 34.1278194847543
"4" 11 7.91241197552177 33.8195955953826
"5" 12 7.21763017431343 33.4682942690372
"6" 13 7.0929931621421 33.3600397070109
"7" 14 6.82040763704687 33.0325421861989
"8" 15 6.60280503136749 32.6710713260036
"9" 16 6.52825308338923 32.3754553904869
"10" 17 6.53221187712477 32.219398327429
"11" 18 6.21743287184744 32.1584558178544
"12" 19 6.14052853192703 32.0251027939684
"13" 20 5.84492166834917 31.8408990246426
"14" 21 5.45205699696518 31.8015701656417
"15" 22 5.03065960158002 31.8015105151222
"16" 23 4.70133485983326 31.7364139152245
"17" 24 4.35743919757627 31.7180985182145
"18" 25 4.67393122669084 31.7504790672938
"19" 26 6.85848150814439 31.752394501854
"20" 27 13.2570163882173 31.7495381242235
"21" 28 18.5029308820779 31.8325056734459
"22" 29 27.8757052846196 31.9179864718998
"23" 30 28.7825508329779 32.0601616411216
"24" 31 36.0916926659028 32.217062839626
"25" 32 32.9131509444738 32.4155825044651
